fold,train_start,train_end,validation_start,validation_end,model,input_window,feature_variant,feature_type,feature_num,factor_group,features,rounds,best_iteration,best_selection_score,validation_rank_ic,validation_universe_return,validation_top5_return,validation_top5_excess_return,validation_top5_excess_return_std,validation_top5_excess_return_min,validation_top5_excess_positive_rate,validation_top5_precision,validation_top10_return,validation_top10_excess_return,validation_top10_excess_return_min,validation_top10_excess_positive_rate,validation_top10_precision,train_groups,validation_groups,train_rows,validation_rows,seconds
rolling_4,2023-01-09,2026-05-25,2026-05-25,2026-06-29,xgb_rank_pairwise,1,xsec,window+xsec,window_01+xsec,momentum,57,120,14,0.019305,0.07999709103672403,0.0003832443899712719,0.019688628369476647,0.019305383979505375,0.010927281975935565,0.006174255299071471,1.0,0.0,0.003052898863097653,0.002669654473126381,5.4132025785899596e-05,1.0,0.0,145,4,43125,1200,1.0869207382202148
rolling_4,2023-01-09,2026-05-25,2026-05-25,2026-06-29,xgb_rank_pairwise,1,xsec,window+xsec,window_01+xsec,reversal,40,120,1,0.019023,0.01214626733176744,0.0003832443899712719,0.019406622112728655,0.019023377722757386,0.024314147101271246,-0.0047040028659588035,0.75,0.0,0.025053436320740727,0.024670191930769456,0.009971986263408325,1.0,0.07500000000000001,145,4,43125,1200,1.0322082042694092
rolling_1,2023-01-09,2026-01-26,2026-01-26,2026-03-09,xgb_rank_pairwise,4,xsec,window+xsec,window_04+xsec,all_window,171,120,44,0.021027,-0.0029313044464633967,-0.006289350809569451,0.014737936295568943,0.021027287105138397,0.021827882422942882,-0.005562958625703042,0.75,0.05,0.006698178831720724,0.012987529641290175,-0.004992751187271362,0.75,0.025,130,4,38625,1200,1.3923709392547607
rolling_1,2023-01-09,2026-01-26,2026-01-26,2026-03-09,xgb_rank_pairwise,4,xsec,window+xsec,window_04+xsec,momentum,76,120,1,0.016797,0.05054006122912903,-0.006289350809569451,0.010507618472911418,0.016796969282480867,0.02215833522815285,-0.010975491294263786,0.75,0.0,0.006052585487486794,0.012341936297056245,-0.010025848626716918,0.5,0.025,130,4,38625,1200,1.1249444484710693
rolling_1,2023-01-09,2026-01-26,2026-01-26,2026-03-09,xgb_rank_pairwise,4,xsec,window+xsec,window_04+xsec,reversal,37,120,59,0.01897,0.07753282154483654,-0.006289350809569451,0.012680385739076882,0.018969736548646338,0.017931020225891468,-0.0071711801379908974,0.75,0.05,0.0018199470185209063,0.008109297828090358,-0.008268025649337953,0.5,0.07500000000000001,130,4,38625,1200,1.0527267456054688
rolling_2,2023-01-09,2026-03-09,2026-03-09,2026-04-13,xgb_rank_pairwise,4,xsec,window+xsec,window_04+xsec,all_window,171,120,36,0.024076,0.09877355711288544,-0.00566668835116919,0.01840981097193435,0.02407649932310354,0.007900005818729511,0.013609756942411575,1.0,0.0,0.012588136567501351,0.018254824918670542,0.007765695422664672,1.0,0.0,134,4,39825,1200,1.4405155181884766
rolling_2,2023-01-09,2026-03-09,2026-03-09,2026-04-13,xgb_rank_pairwise,4,xsec,window+xsec,window_04+xsec,momentum,76,120,115,0.024716,0.07145149217844987,-0.00566668835116919,0.019049637811258437,0.024716326162427627,0.023166759366329757,-0.009211755201443642,0.75,0.0,0.005473345774225891,0.011140034125395078,-0.00616597576411247,0.5,0.025,134,4,39825,1200,1.1690208911895752
rolling_2,2023-01-09,2026-03-09,2026-03-09,2026-04-13,xgb_rank_pairwise,4,xsec,window+xsec,window_04+xsec,reversal,37,120,103,0.019807,0.025462279473674066,-0.00566668835116919,0.014140291186049581,0.019806979537218772,0.018288339779864934,-0.00015436339400669817,0.75,0.0,0.012365966032302823,0.018032654383472013,-0.002376382835257875,0.75,0.025,134,4,39825,1200,1.047093152999878
rolling_3,2023-01-09,2026-04-13,2026-04-13,2026-05-25,xgb_rank_pairwise,4,xsec,window+xsec,window_04+xsec,all_window,171,120,77,0.018217,0.04780930706901065,0.0018528022019078587,0.020070157072404983,0.018217354870497124,0.01882270185563961,0.0021748994085161637,1.0,0.05,0.016169431188791352,0.014316628986883491,0.002146124492234473,1.0,0.025,138,4,41025,1200,1.5034782886505127
rolling_3,2023-01-09,2026-04-13,2026-04-13,2026-05-25,xgb_rank_pairwise,4,xsec,window+xsec,window_04+xsec,momentum,76,120,4,0.006956,-0.05166641152364161,0.0018528022019078587,0.008808559563840392,0.006955757361932532,0.00940872147505552,-0.00794513096761269,0.75,0.0,0.006763562042215197,0.00491075984030734,-0.006895184028350437,0.5,0.0,138,4,41025,1200,1.14650559425354
